Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-04-23,Barry Lyndon,1975,https://boxd.it/9uwDtd,4,,"It took me 5 business days to complete this and yeah, frames were so good like visually.",,2025-04-23
2025-04-24,Court: State vs. A Nobody,2025,https://boxd.it/9v6zoF,4,,A horrible tale of a Male ego,,2025-04-24
2025-04-27,Sinners,2025,https://boxd.it/9wMC2b,5,,Full star for imax experience.,"theater, pvr, imax",2025-04-27
2025-04-28,Y Tu Mamá También,2001,https://boxd.it/9xkbmL,4,,I would love to recreate this with my homie,,2025-04-27
2025-04-30,Malena,2000,https://boxd.it/9yCRHV,4.5,,"""Tare zameen par.."" adult version",,2025-04-30
2025-05-04,Umbarro,2025,https://boxd.it/9ANOM9,4,,"Watched it with my mom, and that was best decision",,2025-05-04
2025-05-05,Crash,1996,https://boxd.it/9Bmifn,3.5,,Weird car fetish..(I like that),,2025-05-04
2025-05-05,Anatomy of Hell,2004,https://boxd.it/9BnNE1,1.5,,A teenage girl who reads dark fantasy romance would probably like this movie.,,2025-05-04
2025-05-07,Superbad,2007,https://boxd.it/9CS0zd,4,,Lightning McLovin,,2025-05-07
2025-05-09,Kink,2013,https://boxd.it/9E5WsJ,3,,It changed my whole POV of watching porn.,,2025-05-09
2025-05-10,Enter the Void,2009,https://boxd.it/9E9WYX,3.5,,"I don't need LSD, I have gaspar noe films.
In every 5 min they have camera floating in the air to travel 10 blocks, 360 angel, neon colours, camera going inside random body parts and yeah last but not least cumshot.",,2025-05-09
2025-05-11,Sunday,2008,https://boxd.it/9FiJCB,3.5,,"<blockquote>देखिए आप आगे मत आइए, मैं चिल्ला दूंगी...

अरे बलात्कार मर्डर से बड़ा पाप हे..</blockquote>",,2025-05-11
2025-05-12,Black Friday,2004,https://boxd.it/9Fn3SR,4,,The song 'Bandeh' by Indian Ocean band in end credits was a masterstroke.,,2025-05-11
2025-05-14,Come and See,1985,https://boxd.it/9GEp6N,5,,So beautiful and devasting at the same time. Will never watch it again.,,2025-05-14
2025-05-16,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9HFf9t,4.5,Yes,Just doing homework before dead reckoning part 2,,2025-05-15
2025-05-18,Arrival,2016,https://boxd.it/9IL1aN,5,Yes,Not seeing it on big screen is my failure.,,2025-05-17
2025-05-20,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9KodKZ,4,,"Mission Completed..!!!
Tom Cruise running straight in 8th one also, and I m still shouting and hooting each time.","theater, pvr, imax",2025-05-19
2025-05-21,The Lobster,2015,https://boxd.it/9KE67X,3.5,,Who wants to be a two humped camel...???,,2025-05-20
2025-05-22,The Lighthouse,2019,https://boxd.it/9L7w2n,3,,"I watched the lobster (2015) and then directly this movie, is there any connection...??
<blockquote>YOU LIKED MY LOBSTER! SAY IT! SAY YOU LIKED MY LOBSTER!</blockquote>",,2025-05-21
2025-05-25,Jaane Bhi Do Yaaro,1983,https://boxd.it/9MWm5x,5,,<b>Hum mr. D'mellow ki yaad me 1 din ke liye shahar ke sare gutter bandh kar denge.</b>,,2025-05-24
2025-05-25,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/9N0xBd,3.5,,Daughter owner's manual,,2025-05-25
2025-05-30,The Hero,1966,https://boxd.it/9QfUhx,5,,Uttam kumar is pretty good at making smoke rings.,,2025-05-29
2025-06-01,Love,2015,https://boxd.it/9RZsKn,3,,"I love that miniature of a LOVE buliding that from his previous movie 'Enter The Void'.
And Gaspar Noe talks about himself when Murphy talks about movie or even when he talks about this (Love) movie's plot to Electra. 

It's an Artistic Pornography...

And Gaspar Noe loves Cumshots.",,2025-06-01
2025-06-06,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/9UsofV,2.5,Yes,"I thought I will never watch this film again in my life, but here I m...",,2025-06-03
2025-06-06,Ratatouille,2007,https://boxd.it/9UsoTV,5,,Cute little rat cooks...👍🏻👍🏻,,2025-06-05
2025-06-06,Thudarum,2025,https://boxd.it/9Usqu9,3,,The first half was literally so so so long,,2025-06-05
2025-06-08,Tourist Family,2025,https://boxd.it/9VHEoD,4.5,,"If this family had crossed borders of any other side of India instead of south, this would be a crime thriller movie...👍🏻
Wow this is like a perfect circle in context of story.
This is like a warm hug. A complete rollercoaster of laughter, tears, tention and acting.
If gives vibes of meiyazhagan.",,2025-06-07
