Date,Name,Year,Letterboxd URI,Rating
2024-12-17,Shree 420,1955,https://boxd.it/HgU,5
2024-12-18,For a Few Dollars More,1965,https://boxd.it/29eu,4
2024-12-21,Bhavni Bhavai,1981,https://boxd.it/7BXC,4
2024-12-23,The Truman Show,1998,https://boxd.it/18U8,5
2024-12-24,Anora,2024,https://boxd.it/Egcw,3.5
2024-12-25,Gravity,2013,https://boxd.it/GZY,4
2024-12-26,Dev.D,2009,https://boxd.it/1L5I,4
2024-12-26,Nacho Libre,2006,https://boxd.it/1YTG,4
2024-12-26,Udaan,2010,https://boxd.it/PPe,5
2024-12-26,Masaan,2015,https://boxd.it/b6x2,5
2024-12-26,Raman Raghav 2.0,2016,https://boxd.it/dL2S,4
2024-12-26,No Smoking,2007,https://boxd.it/1b5W,4.5
2024-12-26,"Making ""Sacred Games""",2019,https://boxd.it/F3Zs,4
2024-12-26,The Pursuit of Happyness,2006,https://boxd.it/28PE,5
2024-12-26,The Wild Robot,2024,https://boxd.it/IWFy,5
2024-12-26,Inside Out 2,2024,https://boxd.it/CFrC,5
2024-12-26,Incendies,2010,https://boxd.it/Msm,5
2024-12-26,GoodFellas,1990,https://boxd.it/29FA,4.5
2024-12-26,Laila Majnu,2018,https://boxd.it/jIfw,3.5
2024-12-26,Monkey Man,2024,https://boxd.it/kvsO,4
2024-12-26,The Revenant,2015,https://boxd.it/8H5e,4
2024-12-26,Life Is Beautiful,1997,https://boxd.it/29Wm,4.5
2024-12-26,Hanu-Man,2024,https://boxd.it/wNZ6,3.5
2024-12-26,The Pianist,2002,https://boxd.it/2aqc,4.5
2024-12-28,The Martian,2015,https://boxd.it/8SeG,4
2024-12-28,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2024-12-28,Oldboy,2003,https://boxd.it/29R2,5
2024-12-29,I Saw the Devil,2010,https://boxd.it/FaK,4.5
2024-12-29,Marco,2024,https://boxd.it/J0ka,4
2024-12-30,Gladiator II,2024,https://boxd.it/kqQQ,4
2024-12-30,Gladiator,2000,https://boxd.it/2b9m,4.5
2024-12-30,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-12-30,The Batman,2022,https://boxd.it/eDGs,5
2024-12-30,John Wick: Chapter 4,2023,https://boxd.it/mh48,5
2024-12-30,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2024-12-30,Forrest Gump,1994,https://boxd.it/728,5
2024-12-30,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2024-12-30,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2024-12-30,La La Land,2016,https://boxd.it/a5fa,5
2024-12-30,All Quiet on the Western Front,2022,https://boxd.it/H08,5
2024-12-30,Pulp Fiction,1994,https://boxd.it/29Pq,5
2024-12-30,Swades,2004,https://boxd.it/1Ly6,5
2024-12-30,Ford v Ferrari,2019,https://boxd.it/ce74,5
2024-12-30,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2024-12-30,Whiplash,2014,https://boxd.it/7bQA,5
2024-12-30,Black Swan,2010,https://boxd.it/Sw0,5
2024-12-30,Oppenheimer,2023,https://boxd.it/wUow,5
2024-12-30,Mera Naam Joker,1970,https://boxd.it/1BQY,5
2024-12-30,The Lunchbox,2013,https://boxd.it/5MOs,5
2024-12-30,The Green Mile,1999,https://boxd.it/2agG,5
2024-12-30,The Godfather Part II,1974,https://boxd.it/2aNq,5
2024-12-30,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
