Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-31,Good Will Hunting,1997,https://boxd.it/6ZGsx9,5,,,2024-07-30
2024-08-01,Ajji,2017,https://boxd.it/704ULL,3.5,,,2024-07-31
2024-08-04,The Departed,2006,https://boxd.it/71jIGX,4.5,,,2024-08-03
2024-08-05,Pather Panchali,1955,https://boxd.it/71QCBD,5,,,2024-08-04
2024-08-08,Aparajito,1956,https://boxd.it/73cisf,5,,,2024-08-08
2024-08-13,Apur Sansar,1959,https://boxd.it/75ojPB,5,,,2024-08-12
2024-08-13,Mangalavaaram,2023,https://boxd.it/75okcb,3,,,2024-08-12
2024-08-16,Incendies,2010,https://boxd.it/76A9DN,5,,,2024-08-15
2024-08-17,Despicable Me 4,2024,https://boxd.it/7779Yx,3,,,2024-08-17
2024-08-18,Iratta,2023,https://boxd.it/77ATeX,3.5,,,2024-08-18
2024-08-18,Toy Story,1995,https://boxd.it/77X9UJ,4,,,2024-08-18
2024-08-19,The Silence of the Lambs,1991,https://boxd.it/784JRl,4.5,,,2024-08-18
2024-08-19,Stree 2,2024,https://boxd.it/78xMpn,4,,,2024-08-19
2024-08-26,Munjya,2024,https://boxd.it/7bj3kB,3,,,2024-08-25
2024-08-28,Raayan,2024,https://boxd.it/7cjx0P,3.5,,,2024-08-27
2024-09-01,Toy Story 2,1999,https://boxd.it/7e1Ysj,4,,,2024-08-31
2024-09-01,Toy Story 3,2010,https://boxd.it/7e1YJf,5,,,2024-08-31
2024-09-06,Pyaasa,1957,https://boxd.it/7gsMw1,5,,,2024-09-06
2024-09-07,Kaagaz Ke Phool,1959,https://boxd.it/7gSzUh,5,,,2024-09-07
2024-09-08,Two Acres of Land,1953,https://boxd.it/7hb2Cx,5,,,2024-09-07
2024-09-09,Do Ankhen Barah Haath,1957,https://boxd.it/7hJgt3,4,,,2024-09-08
2024-09-09,Guide,1965,https://boxd.it/7hQqGv,5,,,2024-09-08
2024-09-12,Insomnia,2002,https://boxd.it/7jqEgd,3.5,,,2024-09-12
2024-09-14,Requiem for a Dream,2000,https://boxd.it/7jPc6J,3.5,,,2024-09-13
2024-09-15,Demolition,2015,https://boxd.it/7klRWv,4,,,2024-09-14
2024-09-16,Tumbbad,2018,https://boxd.it/7liaTB,4.5,,,2024-09-16
2024-09-16,Blade Runner,1982,https://boxd.it/7lkSTT,3.5,,,2024-09-16
2024-09-17,Sector 36,2024,https://boxd.it/7lnRsD,4,,,2024-09-16
2024-09-19,Drive,2011,https://boxd.it/7mcdar,3.5,,,2024-09-18
2024-09-20,Kamthaan,2024,https://boxd.it/7mDEMh,3.5,,,2024-09-19
2024-09-21,The Grand Budapest Hotel,2014,https://boxd.it/7n0ZkJ,4,,,2024-09-20
2024-09-23,Blade Runner 2049,2017,https://boxd.it/7nZnAL,5,,,2024-09-22
2024-09-23,Kurangu Bommai,2017,https://boxd.it/7opc6x,3.5,,,2024-09-23
2024-09-26,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/7pdIzr,4,,,2024-09-25
2024-09-29,Saripodhaa Sanivaaram,2024,https://boxd.it/7qxdOJ,3.5,,,2024-09-29
2024-10-02,Inside Out 2,2024,https://boxd.it/7s01Ir,5,,,2024-10-02
2024-10-11,Manchester by the Sea,2016,https://boxd.it/7wex5l,3.5,,,2024-10-10
2024-10-13,Constantine,2005,https://boxd.it/7x4HiD,3,,,2024-10-12
2024-10-14,Citizen Kane,1941,https://boxd.it/7xH3Hr,4,,,2024-10-13
2024-10-20,Mulholland Drive,2001,https://boxd.it/7AFTTx,4.5,,,2024-10-19
2024-10-20,Kinds of Kindness,2024,https://boxd.it/7BaQ2x,3,,,2024-10-20
2024-10-21,The Wild Robot,2024,https://boxd.it/7BoOEx,5,,,2024-10-21
2024-10-27,Vertigo,1958,https://boxd.it/7EmZlf,4,,,2024-10-27
2024-10-28,Venom: The Last Dance,2024,https://boxd.it/7Fls9d,4,,,2024-10-28
2024-10-29,Toy Story 4,2019,https://boxd.it/7FxmQf,4,,,2024-10-28
2024-10-31,Joker: Folie à Deux,2024,https://boxd.it/7GrcCz,2.5,,,2024-10-30
2024-11-03,Zwigato,2022,https://boxd.it/7I1IuD,4,,,2024-11-02
2024-11-06,Meiyazhagan,2024,https://boxd.it/7JM5Lt,5,,,2024-11-05
2024-11-06,The Substance,2024,https://boxd.it/7K8dVl,3.5,,,2024-11-06
2024-11-08,Antichrist,2009,https://boxd.it/7KDL85,2.5,,,2024-11-07
2024-11-15,The Penguin,2024,https://boxd.it/7Op98f,4,,,2024-11-15
2024-11-25,Into the Wild,2007,https://boxd.it/7T50cH,4,,,2024-11-24
2024-11-25,We Live in Time,2024,https://boxd.it/7TgZuT,3.5,,,2024-11-25
2024-11-28,Yavarum Nalam,2009,https://boxd.it/7UGqKN,4,,,2024-11-27
2024-11-28,A Fistful of Dollars,1964,https://boxd.it/7ULjaX,4,,,2024-11-28
2024-12-01,8 A.M. Metro,2023,https://boxd.it/7WgjTf,4,,,2024-12-01
2024-12-01,Smile 2,2024,https://boxd.it/7WD1GN,3.5,,,2024-12-01
2024-12-05,There Will Be Blood,2007,https://boxd.it/7YAOXP,4.5,,,2024-12-05
2024-12-07,Pushpa 2 - The Rule,2024,https://boxd.it/7ZdIqN,2.5,,,2024-12-07
2024-12-08,Singham Again,2024,https://boxd.it/7ZNQqt,2.5,,,2024-12-08
2024-12-09,Aradhana,1969,https://boxd.it/805U2V,4.5,,,2024-12-08
2024-12-11,50 First Dates,2004,https://boxd.it/81i46r,3.5,,,2024-12-11
2024-12-14,"Dude, Where's My Car?",2000,https://boxd.it/82zCUt,2.5,,,2024-12-13
2024-12-15,Awaara,1951,https://boxd.it/83bZ5p,4,,,2024-12-15
2024-12-17,Shree 420,1955,https://boxd.it/84hL1T,5,,,2024-12-16
2024-12-18,For a Few Dollars More,1965,https://boxd.it/84VMM7,4,,,2024-12-17
2024-12-19,Nacho Libre,2006,https://boxd.it/85s4dj,4,,,2024-12-18
2024-12-22,"The Good, the Bad and the Ugly",1966,https://boxd.it/877fAz,5,,,2024-12-22
2024-12-24,Anora,2024,https://boxd.it/88yE3N,3.5,,,2024-12-24
2024-12-26,Dev.D,2009,https://boxd.it/89Rpil,4,,,2024-12-25
2024-12-26,Udaan,2010,https://boxd.it/8a5c0V,5,,,2024-12-26
2024-12-28,I Saw the Devil,2010,https://boxd.it/8clZfF,4.5,,,2024-12-28
2024-12-29,Marco,2024,https://boxd.it/8ctoQP,4,,,2024-12-28
2024-12-30,Gladiator II,2024,https://boxd.it/8dE8dX,4,,,2024-12-30
2025-01-01,Rocky,1976,https://boxd.it/8fyxKj,4,,,2025-01-01
2025-01-06,All We Imagine as Light,2024,https://boxd.it/8koEDp,3.5,,,2025-01-05
2025-01-10,Kishkindha Kaandam,2024,https://boxd.it/8ogK4Z,5,,,2025-01-09
2025-01-12,The Handmaiden,2016,https://boxd.it/8qNAFb,4.5,,,2025-01-12
2025-01-18,Thangalaan,2024,https://boxd.it/8vz8Qx,3.5,,,2025-01-17
2025-01-19,The Skin I Live In,2011,https://boxd.it/8wBMh1,4,,,2025-01-19
2025-01-19,Satya,1998,https://boxd.it/8x8nHz,5,,,2025-01-19
2025-01-21,UI,2024,https://boxd.it/8y8dSr,1.5,,,2025-01-20
2025-01-23,Sookshmadarshini,2024,https://boxd.it/8zNyJh,4.5,,,2025-01-23
2025-01-25,The Girl with the Dragon Tattoo,2011,https://boxd.it/8Bbkn9,4.5,,,2025-01-25
2025-01-29,Lakshya,2004,https://boxd.it/8ErmJl,4,,,2025-01-28
2025-01-30,Coco,2017,https://boxd.it/8F7H5F,5,,,2025-01-29
2025-02-01,Phir Bhi Dil Hai Hindustani,2000,https://boxd.it/8GmW21,3.5,,,2025-01-31
2025-02-02,Gujjubhai The Great,2015,https://boxd.it/8H6UD7,5,,,2025-02-01
2025-02-02,The Terminal,2004,https://boxd.it/8HcQyJ,4,,,2025-02-02
2025-02-03,Seven Samurai,1954,https://boxd.it/8HPgJJ,4.5,,,2025-02-02
2025-02-05,Climax,2018,https://boxd.it/8Ju6Vr,3.5,,,2025-02-05
2025-02-07,Toolsidas Junior,2022,https://boxd.it/8KyIzP,3.5,,,2025-02-06
2025-02-08,Interstellar,2014,https://boxd.it/8Lau03,5,Yes,"theater, pvr, imax",2025-02-07
2025-02-08,The Autopsy of Jane Doe,2016,https://boxd.it/8LFJbR,3,,,2025-02-08
2025-02-09,City Lights,1931,https://boxd.it/8LOXrx,5,,,2025-02-08
2025-02-10,RRR: Behind & Beyond,2024,https://boxd.it/8MwUFJ,3.5,,,2025-02-09
2025-02-10,Moana 2,2024,https://boxd.it/8MHo2H,3,,,2025-02-09
2025-02-10,Nadiya Ke Paar,1982,https://boxd.it/8MHpDz,4,,,2025-02-09
2025-02-16,The Polar Express,2004,https://boxd.it/8QmvU1,3.5,,,2025-02-15
2025-02-16,Apocalypse Now,1979,https://boxd.it/8QYqjF,4,,,2025-02-16
2025-02-17,Kati Patang,1971,https://boxd.it/8RdypB,4,,,2025-02-17
2025-02-18,Chhaava,2025,https://boxd.it/8RWFft,3.5,,,2025-02-17
2025-02-20,Dil Se..,1998,https://boxd.it/8Tbw1L,3,,,2025-02-19
2025-02-23,Padosan,1968,https://boxd.it/8V48mJ,3.5,,,2025-02-23
2025-02-24,Mufasa: The Lion King,2024,https://boxd.it/8VNe2F,3.5,,,2025-02-23
2025-02-27,Heat,1995,https://boxd.it/8Xzjjr,4,,,2025-02-26
2025-02-27,Jaws,1975,https://boxd.it/8XELJn,4,,,2025-02-26
2025-02-28,WALL·E,2008,https://boxd.it/8Yen35,4.5,,,2025-02-28
2025-03-02,La Belle Noiseuse,1991,https://boxd.it/8ZjIfv,3.5,,,2025-03-01
2025-03-02,Amar Prem,1972,https://boxd.it/8ZW5tB,4,,,2025-03-02
2025-03-05,Gulaal,2009,https://boxd.it/91qUQv,3.5,,,2025-03-04
2025-03-07,Cannibal Holocaust,1980,https://boxd.it/92IJWd,2,,,2025-03-07
2025-03-07,August Underground,2001,https://boxd.it/935afp,1,,,2025-03-07
2025-03-08,Grotesque,2009,https://boxd.it/93hL19,1.5,,,2025-03-08
2025-03-09,Flow,2024,https://boxd.it/93UfQx,3.5,,,2025-03-08
2025-03-10,Kill Bill: Vol. 1,2003,https://boxd.it/94V5Gj,5,Yes,,2025-03-10
2025-03-10,Kill Bill: Vol. 2,2004,https://boxd.it/94Va8V,4.5,Yes,,2025-03-10
2025-03-11,The Notebook,2004,https://boxd.it/95zhEz,4,,,2025-03-11
2025-03-14,Vaazha,2024,https://boxd.it/97c3sh,3.5,,,2025-03-14
2025-03-15,Ankhon Dekhi,2013,https://boxd.it/97Cqhj,3.5,,,2025-03-14
2025-03-15,A Trip to the Moon,1902,https://boxd.it/97Ctzv,4,,,2025-03-14
2025-03-15,About Time,2013,https://boxd.it/97FYtp,5,,,2025-03-15
2025-03-16,White Nights,1960,https://boxd.it/989JlZ,5,,,2025-03-15
2025-03-16,Luck by Chance,2009,https://boxd.it/98l5pB,4,,,2025-03-16
2025-03-17,Ford v Ferrari,2019,https://boxd.it/992x6t,5,Yes,,2025-03-16
2025-03-18,Shaurya,2008,https://boxd.it/99Opxn,3.5,,,2025-03-18
2025-03-19,Reva,2018,https://boxd.it/9aeCBf,5,,,2025-03-18
2025-03-21,Late Night with the Devil,2023,https://boxd.it/9bk7Qz,2.5,,,2025-03-21
2025-03-22,Adolescence,2025,https://boxd.it/9bFyxB,4,,,2025-03-21
2025-03-23,Mr. & Mrs. '55,1955,https://boxd.it/9cptrZ,4,,,2025-03-23
2025-03-25,The Truman Show,1998,https://boxd.it/9dFDcr,5,Yes,,2025-03-24
2025-03-25,Little Women,2019,https://boxd.it/9dMjNr,4,,,2025-03-24
2025-03-30,Desire,2011,https://boxd.it/9gq0yP,2,,,2025-03-30
2025-03-30,In the Realm of the Senses,1976,https://boxd.it/9gqI4p,3.5,,,2025-03-30
2025-03-30,Caligula,1979,https://boxd.it/9gs713,2,,,2025-03-30
2025-03-31,Moonlight,2016,https://boxd.it/9gS7Kf,4.5,,,2025-03-30
2025-04-01,Enemy,2013,https://boxd.it/9hLodn,4.5,,,2025-04-01
2025-04-05,Ugly,2013,https://boxd.it/9jFsP7,4,Yes,,2025-04-04
2025-04-06,Rashomon,1950,https://boxd.it/9kbY3X,4.5,,,2025-04-05
2025-04-06,Singin' in the Rain,1952,https://boxd.it/9kNz2r,5,,,2025-04-06
2025-04-07,Talvar,2015,https://boxd.it/9kXiGJ,4,,,2025-04-06
2025-04-10,Ex Machina,2015,https://boxd.it/9mEWfX,4,,,2025-04-09
2025-04-13,Hugo,2011,https://boxd.it/9o8qOb,5,,,2025-04-12
2025-04-13,Basic Instinct,1992,https://boxd.it/9oiumZ,4,,,2025-04-13
2025-04-13,Thiruchitrambalam,2022,https://boxd.it/9oFxLf,4,,,2025-04-13
2025-04-14,Deep Water,2022,https://boxd.it/9oP09n,2.5,,,2025-04-13
2025-04-15,I Am Legend,2007,https://boxd.it/9psS3r,3.5,,,2025-04-14
2025-04-16,The Roundup,2022,https://boxd.it/9q06P1,3.5,,,2025-04-15
2025-04-18,The Dreamers,2003,https://boxd.it/9r6c3N,3.5,,,2025-04-18
2025-04-20,WR: Mysteries of the Organism,1971,https://boxd.it/9spsS5,1,,,2025-04-20
2025-04-20,Blue Is the Warmest Color,2013,https://boxd.it/9stZdH,2.5,,,2025-04-20
2025-04-20,Dragon,2025,https://boxd.it/9sVYCx,3.5,,,2025-04-20
