Date,Name,Year,Letterboxd URI
2025-05-09,Deewane Huye Paagal,2005,https://boxd.it/3myu
2025-05-09,Batman Begins,2005,https://boxd.it/2aIg
2025-05-09,Spider-Man 2,2004,https://boxd.it/2a88
2025-05-09,Kung Fu Hustle,2004,https://boxd.it/1YBi
2025-05-09,The Matrix Revolutions,2003,https://boxd.it/2a12
2025-05-09,The Matrix Reloaded,2003,https://boxd.it/2a1c
2025-05-09,Catch Me If You Can,2002,https://boxd.it/29VS
2025-05-09,Spider-Man,2002,https://boxd.it/2a8i
2025-05-09,American Pie 2,2001,https://boxd.it/26kO
2025-05-09,Rush Hour 2,2001,https://boxd.it/23ga
2025-05-09,Donnie Darko,2001,https://boxd.it/2b2A
2025-05-09,Lagaan: Once Upon a Time in India,2001,https://boxd.it/1EII
2025-05-09,Memento,2000,https://boxd.it/2bcK
2025-05-09,Requiem for a Dream,2000,https://boxd.it/29VI
2025-05-09,Baadshah,1999,https://boxd.it/Yf0
2025-05-09,The Sixth Sense,1999,https://boxd.it/29Js
2025-05-09,Eyes Wide Shut,1999,https://boxd.it/2axs
2025-05-09,American Pie,1999,https://boxd.it/27qy
2025-05-09,The Matrix,1999,https://boxd.it/2a1m
2025-05-09,Titanic,1997,https://boxd.it/2a2k
2025-05-09,Heat,1995,https://boxd.it/2bg8
2025-05-09,Se7en,1995,https://boxd.it/29zs
2025-05-09,The Usual Suspects,1995,https://boxd.it/29XE
2025-05-09,GoodFellas,1990,https://boxd.it/29FA
2025-05-09,The Shining,1980,https://boxd.it/29Nu
2025-05-09,Don,1978,https://boxd.it/1g6A
2025-05-09,Taxi Driver,1976,https://boxd.it/2b8y
2025-05-09,Jaws,1975,https://boxd.it/2a5e
2025-05-09,Deewaar,1975,https://boxd.it/1AxG
2025-05-09,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-05-09,Moon Knight,2022,https://boxd.it/zeDq
2025-05-09,The Dark Knight Rises,2012,https://boxd.it/H3m
2025-05-11,Black Friday,2004,https://boxd.it/1oUy
2025-05-11,A Wednesday!,2008,https://boxd.it/1EFE
2025-05-12,Mahaan,2022,https://boxd.it/uhxK
2025-05-13,Guy Ritchie's The Covenant,2023,https://boxd.it/xjcK
2025-05-13,Come and See,1985,https://boxd.it/1w9q
2025-05-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-05-15,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS
2025-05-20,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2
2025-05-23,The Dictator,2012,https://boxd.it/2DEW
2025-05-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2025-05-25,Jaane Bhi Do Yaaro,1983,https://boxd.it/1vHw
2025-05-25,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/rNS0
2025-05-25,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2025-05-26,The Darjeeling Limited,2007,https://boxd.it/24as
2025-05-30,The Hero,1966,https://boxd.it/3MJI
2025-05-30,Chillar Party,2011,https://boxd.it/2uQa
2025-06-01,Love,2015,https://boxd.it/9brE
2025-06-03,Delhi Belly,2011,https://boxd.it/2gEk
2025-06-04,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s
2025-06-06,Ratatouille,2007,https://boxd.it/27ww
2025-06-07,Bhavni Bhavai,1981,https://boxd.it/7BXC
2025-06-07,OMG: Oh My God!,2012,https://boxd.it/4nuA
2025-06-08,Tourist Family,2025,https://boxd.it/RNEO
2025-06-09,Stolen,2023,https://boxd.it/HJAe
2025-06-11,Sholay,1975,https://boxd.it/1Saq
2025-06-11,Nightcrawler,2014,https://boxd.it/780m
2025-06-11,The Terminal,2004,https://boxd.it/2a2O
2025-06-11,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-06-11,The Departed,2006,https://boxd.it/28MA
2025-06-11,Forrest Gump,1994,https://boxd.it/728
2025-06-11,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2025-06-11,Inside Out 2,2024,https://boxd.it/CFrC
2025-06-11,The Wild Robot,2024,https://boxd.it/IWFy
2025-06-11,Udaan,2010,https://boxd.it/PPe
2025-06-11,Meiyazhagan,2024,https://boxd.it/GYue
2025-06-11,Two Acres of Land,1953,https://boxd.it/uuE
2025-06-11,Manjummel Boys,2024,https://boxd.it/EtUc
2025-06-13,Children of Men,2006,https://boxd.it/1Y2i
2025-06-15,"Monsters, Inc.",2001,https://boxd.it/2a46
2025-06-16,Your Name.,2016,https://boxd.it/cUqs
2025-06-16,Drive,2011,https://boxd.it/IG
2025-06-16,No Country for Old Men,2007,https://boxd.it/21ew
2025-06-16,Nayakan,1987,https://boxd.it/1meA
2025-06-17,Ballerina,2025,https://boxd.it/jKqG
2025-06-22,The Machinist,2004,https://boxd.it/248c
2025-06-30,Two,1965,https://boxd.it/5MnG
2025-07-02,F1,2025,https://boxd.it/yjVM
2025-07-08,In the Mood for Love,2000,https://boxd.it/29tE
2025-07-12,Article 15,2019,https://boxd.it/m0mO
2025-07-16,Superman,2025,https://boxd.it/E9IU
2025-07-18,Source Code,2011,https://boxd.it/fdo
2025-07-20,Society of the Snow,2023,https://boxd.it/y9aw
2025-07-20,Cast Away,2000,https://boxd.it/20i8
2025-07-21,Devi,1960,https://boxd.it/Vt4
2025-07-23,Scam 1992: The Harshad Mehta Story,2020,https://boxd.it/shWQ
2025-07-23,House of Secrets: The Burari Deaths,2021,https://boxd.it/xkSM
2025-07-24,Billu,2009,https://boxd.it/1Kj0
2025-07-24,Hulchul,2004,https://boxd.it/1DBw
2025-07-24,Malamaal Weekly,2006,https://boxd.it/1DoC
2025-07-25,Kahaani,2012,https://boxd.it/2UfY
2025-07-25,AK vs AK,2020,https://boxd.it/rBZ4
2025-07-27,Fury,2014,https://boxd.it/6JwC
2025-07-28,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo
2025-07-28,Dev.D,2009,https://boxd.it/1L5I
2025-07-29,City of God,2002,https://boxd.it/2a2a
2025-08-03,Perfect Blue,1997,https://boxd.it/1W7A
2025-08-04,Manvini Bhavai,1993,https://boxd.it/KgEM
2025-08-05,Like Stars on Earth,2007,https://boxd.it/20SA
2025-08-05,Sitaare Zameen Par,2025,https://boxd.it/Ja4m
2025-08-11,Casino,1995,https://boxd.it/2ads
2025-08-12,Pariyerum Perumal,2018,https://boxd.it/gyAy
2025-08-17,La Haine,1995,https://boxd.it/2as8
2025-08-19,Munna Bhai M.B.B.S.,2003,https://boxd.it/1ENy
2025-08-19,Gol Maal,1979,https://boxd.it/1m2k
2025-08-23,Vikram,2022,https://boxd.it/rUJa
2025-08-24,Kumbalangi Nights,2019,https://boxd.it/l8wA
2025-09-01,Vash Level 2,2025,https://boxd.it/SxLc
2025-09-06,Raado,2022,https://boxd.it/BQz6
2025-09-29,We're the Millers,2013,https://boxd.it/4srQ
2025-09-29,Jigarthanda DoubleX,2023,https://boxd.it/C4xI
2025-10-03,Kantara - A Legend: Chapter 1,2025,https://boxd.it/EZaq
2025-10-22,Sadma,1983,https://boxd.it/utQ
2025-10-27,Ne Zha 2,2025,https://boxd.it/B2qe
2025-10-28,Darr,1993,https://boxd.it/1cSK
2025-11-10,Natsamrat,2016,https://boxd.it/d9wA
2025-11-16,Frankenstein,2025,https://boxd.it/Ecsg
2025-11-30,Homebound,2025,https://boxd.it/KDDs
2025-12-13,Dhurandhar,2025,https://boxd.it/NhCI
2025-12-15,One Battle After Another,2025,https://boxd.it/DUHM
2025-12-21,Atonement,2007,https://boxd.it/24ui
2025-12-23,Border,1997,https://boxd.it/1g3w
2025-12-25,Wake Up Dead Man,2025,https://boxd.it/uAKS
2025-12-28,Bāhubali: The Epic,2025,https://boxd.it/WdFc
2025-12-31,Charulata,1964,https://boxd.it/1bVy
2026-01-05,No Other Choice,2025,https://boxd.it/nKiA
2026-01-11,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW
2026-01-16,Sicario,2015,https://boxd.it/8i7u
2026-01-18,Chaniya Toli,2025,https://boxd.it/YosM
2026-02-01,Challengers,2024,https://boxd.it/zld0
2026-02-03,Khosla Ka Ghosla!,2006,https://boxd.it/1Mie
2026-02-04,Maiyar Ma Mandu Nathi Lagtu,2001,https://boxd.it/VOrO
2026-02-06,Ship of Theseus,2012,https://boxd.it/4c5O
2026-02-11,Hamnet,2025,https://boxd.it/woVy
2026-02-14,Marty Supreme,2025,https://boxd.it/Off0
2026-02-20,Pink,2016,https://boxd.it/eEQo
2026-02-21,2048: Nowhere to Run,2017,https://boxd.it/h4uC
2026-02-21,2036: Nexus Dawn,2017,https://boxd.it/gXZo
2026-02-21,Blade Runner: Black Out 2022,2017,https://boxd.it/h5sM
2026-02-22,Sentimental Value,2025,https://boxd.it/GwcG
2026-02-28,Doodlebug,1997,https://boxd.it/TZC
2026-03-02,Little Miss Sunshine,2006,https://boxd.it/29EW
2026-03-07,Rang De Basanti,2006,https://boxd.it/20KG
2026-03-12,Vertigo,1958,https://boxd.it/2apI
2026-03-13,The Wailing,2016,https://boxd.it/9fLy
2026-03-13,With Love,2026,https://boxd.it/W6Rq
2026-03-14,10 Things I Hate About You,1999,https://boxd.it/23AO
2026-03-15,Zootopia 2,2025,https://boxd.it/F0vO
2026-03-15,Zootopia,2016,https://boxd.it/84xS
2026-03-16,Decision to Leave,2022,https://boxd.it/qp9e
2026-03-16,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2026-03-18,Mere Baap Pehle Aap,2008,https://boxd.it/1fVi
2026-03-18,Table No. 21,2013,https://boxd.it/4VBq
2026-03-18,Chachi 420,1997,https://boxd.it/4lsC
2026-03-18,Maqbool,2003,https://boxd.it/1CbM
2026-03-20,Amélie,2001,https://boxd.it/2aUc
2026-03-22,Hellaro,2019,https://boxd.it/njhA
2026-03-22,Dhurandhar The Revenge,2026,https://boxd.it/Z0Uu
2026-03-25,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc
2026-03-26,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2026-03-28,Michael Jackson's Thriller,1983,https://boxd.it/3e76
